specimen,interface,gene,mean_bulge,mean_dent,lfc,p_geomnull,null_sd
PUPA-72h_cellbin,CNS primordium,MESK2,0.3129278,0.2260381,0.086889714,,
PUPA-72h_cellbin,CNS primordium,CG13364,0.35453358,0.2680302,0.08650339,,
PUPA-72h_cellbin,CNS primordium,RpL11,0.56778514,0.4816194,0.086165756,,
PUPA-72h_cellbin,CNS primordium,RpL37a,1.1291685,1.0433944,0.085774064,,
PUPA-72h_cellbin,CNS primordium,RpLP1,0.9950582,0.90958977,0.08546841,,
PUPA-72h_cellbin,CNS primordium,CG34461,1.1163378,1.032475,0.08386278,,
PUPA-72h_cellbin,CNS primordium,RpL31,0.87752146,0.7939505,0.08357096,,
PUPA-72h_cellbin,CNS primordium,Vajk1,0.2834016,0.20092225,0.08247936,,
PUPA-72h_cellbin,CNS primordium,RpL9,0.86730486,0.78493834,0.082366526,,
PUPA-72h_cellbin,CNS primordium,Appl,0.4377498,0.35541096,0.08233884,,
PUPA-72h_cellbin,CNS primordium,RpL19,0.65932983,0.5791294,0.080200434,,
PUPA-72h_cellbin,CNS primordium,CG30172,0.47157276,0.39419207,0.07738069,,
PUPA-72h_cellbin,CNS primordium,Cpr49Aa,0.3576925,0.28185084,0.075841665,,
PUPA-72h_cellbin,CNS primordium,Ubi-p5E,0.28014413,0.20478313,0.075361,,
PUPA-72h_cellbin,CNS primordium,CG12164,0.29871362,0.22403848,0.07467514,,
PUPA-72h_cellbin,CNS primordium,RpL12,0.87062436,0.7976024,0.07302195,,
PUPA-72h_cellbin,CNS primordium,Uhg7,0.55993795,0.48804185,0.071896106,,
PUPA-72h_cellbin,CNS primordium,RpLP2,1.8100306,1.7404832,0.069547415,,
PUPA-72h_cellbin,CNS primordium,ps,0.44478208,0.3755213,0.069260776,,
PUPA-72h_cellbin,CNS primordium,CG7781,0.33988798,0.27162752,0.06826046,,
PUPA-72h_cellbin,CNS primordium,fax,0.519121,0.45115525,0.067965746,,
PUPA-72h_cellbin,CNS primordium,sta,0.787314,0.71986294,0.06745106,,
PUPA-72h_cellbin,CNS primordium,cac,0.3560521,0.28978658,0.06626552,,
PUPA-72h_cellbin,CNS primordium,RpL32,0.6969392,0.6306874,0.066251755,,
PUPA-72h_cellbin,CNS primordium,RpS19a,0.6863168,0.62102014,0.06529665,,
PUPA-72h_cellbin,CNS primordium,RpS23,0.5749775,0.5101897,0.064787805,,
PUPA-72h_cellbin,CNS primordium,eEF1alpha1,0.765044,0.7007661,0.06427789,,
PUPA-72h_cellbin,CNS primordium,Vha16-1,0.31458968,0.25080764,0.06378204,,
PUPA-72h_cellbin,CNS primordium,RpL18A,0.8321758,0.770663,0.06151277,,
PUPA-72h_cellbin,CNS primordium,RpL37A,0.54081106,0.48051488,0.060296178,,
PUPA-72h_cellbin,CNS primordium,Mlp60A,0.46071607,0.40066507,0.060050994,,
PUPA-72h_cellbin,CNS primordium,CG13376,0.2292384,0.17004773,0.059190676,,
PUPA-72h_cellbin,CNS primordium,CG4962,0.44051272,0.38170198,0.05881074,,
PUPA-72h_cellbin,CNS primordium,arm,0.26257244,0.204215,0.058357432,,
PUPA-72h_cellbin,CNS primordium,Drs,0.3170608,0.25907794,0.057982862,,
PUPA-72h_cellbin,CNS primordium,RpL24,0.7105994,0.65363985,0.05695957,,
PUPA-72h_cellbin,CNS primordium,RpL10,0.8622328,0.80546355,0.05676925,,
PUPA-72h_cellbin,CNS primordium,lncRNA:CR42862,0.37503397,0.31832945,0.05670452,,
PUPA-72h_cellbin,CNS primordium,RpS14b,0.49256054,0.4358582,0.056702346,,
PUPA-72h_cellbin,CNS primordium,mub,0.25783116,0.20167086,0.0561603,,
PUPA-72h_cellbin,CNS primordium,Hsc70-4,0.39886963,0.34278086,0.056088775,,
PUPA-72h_cellbin,CNS primordium,RpL14,0.937817,0.8818903,0.05592668,,
PUPA-72h_cellbin,CNS primordium,igl,0.36171374,0.3058316,0.055882126,,
PUPA-72h_cellbin,CNS primordium,Nacalpha,0.32016757,0.26432583,0.055841744,,
PUPA-72h_cellbin,CNS primordium,RpL36,1.0042719,0.9492555,0.05501634,,
PUPA-72h_cellbin,CNS primordium,RpS6,0.54439217,0.4901168,0.054275364,,
PUPA-72h_cellbin,CNS primordium,Cpr92F,0.49981362,0.44648528,0.053328335,,
PUPA-72h_cellbin,CNS primordium,shakB,0.2639207,0.21073797,0.05318272,,
PUPA-72h_cellbin,CNS primordium,Jupiter,0.29976764,0.24751014,0.052257508,,
PUPA-72h_cellbin,CNS primordium,bic,0.27412614,0.22276317,0.051362976,,
PUPA-72h_cellbin,CNS primordium,RpS18,0.5617212,0.51037395,0.051347256,,
PUPA-72h_cellbin,CNS primordium,RpS3A,0.59563863,0.5451928,0.050445855,,
PUPA-72h_cellbin,CNS primordium,CG6329,0.42616987,0.37732223,0.048847646,,
PUPA-72h_cellbin,CNS primordium,RpS27,0.8066699,0.75846916,0.048200727,,
PUPA-72h_cellbin,CNS primordium,TM4SF,0.2841075,0.23769595,0.04641156,,
PUPA-72h_cellbin,CNS primordium,Vajk2,0.33414048,0.28807217,0.04606831,,
PUPA-72h_cellbin,CNS primordium,RpLP0,0.48393568,0.43841177,0.04552391,,
PUPA-72h_cellbin,CNS primordium,RpL27,0.4616285,0.41796133,0.043667167,,
PUPA-72h_cellbin,CNS primordium,Osi19,0.25350815,0.20994246,0.04356569,,
PUPA-72h_cellbin,CNS primordium,CG9686,0.37683308,0.3339559,0.042877167,,
PUPA-72h_cellbin,CNS primordium,RpL7A,0.3867538,0.34429833,0.042455465,,
PUPA-72h_cellbin,CNS primordium,shep,0.34091336,0.2987163,0.04219705,,
PUPA-72h_cellbin,CNS primordium,RpS24,0.43919045,0.39702368,0.04216677,,
PUPA-72h_cellbin,CNS primordium,RpS4,0.8903153,0.8502056,0.040109694,,
PUPA-72h_cellbin,CNS primordium,Cpr49Ah,0.21354687,0.17365329,0.039893582,,
PUPA-72h_cellbin,CNS primordium,Cpr64Ac,0.35233533,0.31258723,0.039748102,,
PUPA-72h_cellbin,CNS primordium,fabp,0.23482893,0.19560857,0.039220363,,
PUPA-72h_cellbin,CNS primordium,RpL35A,0.35648736,0.31745386,0.039033502,,
PUPA-72h_cellbin,CNS primordium,CG2150,0.42736173,0.38854235,0.038819373,,
PUPA-72h_cellbin,CNS primordium,RpL6,0.5192796,0.4805582,0.038721412,,
PUPA-72h_cellbin,CNS primordium,HmgZ,0.24557807,0.20947725,0.03610082,,
PUPA-72h_cellbin,CNS primordium,Act5C,0.42728186,0.3914415,0.035840362,,
PUPA-72h_cellbin,CNS primordium,ND-PDSW,0.24324632,0.20757481,0.035671502,,
PUPA-72h_cellbin,CNS primordium,bol,0.3658908,0.3305649,0.035325915,,
PUPA-72h_cellbin,CNS primordium,Cp1,0.2559854,0.22072747,0.035257936,,
PUPA-72h_cellbin,CNS primordium,COX8,1.0791183,1.0448662,0.034252048,,
PUPA-72h_cellbin,CNS primordium,RpL35,0.59257936,0.5586,0.033979356,,
PUPA-72h_cellbin,CNS primordium,Atg8a,0.2438129,0.21027867,0.03353423,,
PUPA-72h_cellbin,CNS primordium,roh,0.39777106,0.36506763,0.03270343,,
PUPA-72h_cellbin,CNS primordium,RpS20,0.802439,0.76981676,0.032622218,,
PUPA-72h_cellbin,CNS primordium,RpS29,0.9038309,0.87197846,0.031852424,,
PUPA-72h_cellbin,CNS primordium,RpL3,0.40952742,0.37769702,0.0318304,,
PUPA-72h_cellbin,CNS primordium,RpS15Aa,0.5082794,0.47652957,0.031749815,,
PUPA-72h_cellbin,CNS primordium,RpL4,0.28820705,0.25664383,0.031563222,,
PUPA-72h_cellbin,CNS primordium,hpRNA:CR18854,0.23199405,0.20056365,0.031430393,,
PUPA-72h_cellbin,CNS primordium,cpx,0.47594392,0.44463074,0.03131318,,
PUPA-72h_cellbin,CNS primordium,RpS7,0.7823824,0.75123334,0.03114909,,
PUPA-72h_cellbin,CNS primordium,ATPsynbeta,0.7475426,0.71748006,0.030062556,,
PUPA-72h_cellbin,CNS primordium,CG1368,0.30283833,0.27284694,0.029991388,,
PUPA-72h_cellbin,CNS primordium,CG42323,0.654456,0.6246213,0.029834747,,
PUPA-72h_cellbin,CNS primordium,Scp1,0.28592286,0.2560934,0.029829443,,
PUPA-72h_cellbin,CNS primordium,Fis1,0.26418036,0.23440962,0.029770747,,
PUPA-72h_cellbin,CNS primordium,RpS12,0.924383,0.8950075,0.029375494,,
PUPA-72h_cellbin,CNS primordium,Syt1,0.381856,0.3526071,0.029248893,,
PUPA-72h_cellbin,CNS primordium,RpS10b,0.45367336,0.42448506,0.029188305,,
PUPA-72h_cellbin,CNS primordium,ND-B14,0.24270402,0.21357666,0.02912736,,
PUPA-72h_cellbin,CNS primordium,CG34168,0.33465615,0.3057769,0.028879255,,
PUPA-72h_cellbin,CNS primordium,RpL29,0.9354461,0.9069404,0.028505683,,
PUPA-72h_cellbin,CNS primordium,ND-B16.6,0.22841553,0.20005761,0.028357923,,
PUPA-72h_cellbin,CNS primordium,RpL13A,0.8884697,0.8604376,0.028032124,,
PUPA-72h_cellbin,CNS primordium,eEF5,0.64934087,0.6225757,0.026765168,,
PUPA-72h_cellbin,CNS primordium,RpL8,0.61415774,0.58869964,0.025458097,,
PUPA-72h_cellbin,CNS primordium,Rack1,0.37939408,0.3547683,0.024625778,,
PUPA-72h_cellbin,CNS primordium,TwdlT,0.62027836,0.59619653,0.024081826,,
PUPA-72h_cellbin,CNS primordium,CG30430,0.2701657,0.24627823,0.023887485,,
PUPA-72h_cellbin,CNS primordium,CG17127,0.26827422,0.244641,0.023633212,,
PUPA-72h_cellbin,CNS primordium,RpL36A,0.624778,0.60204244,0.022735536,,
PUPA-72h_cellbin,CNS primordium,RpS27A,0.9054811,0.8829279,0.022553205,,
PUPA-72h_cellbin,CNS primordium,Sod1,0.2455921,0.22305252,0.022539586,,
PUPA-72h_cellbin,CNS primordium,slo,0.35942557,0.3380484,0.021377176,,
PUPA-72h_cellbin,CNS primordium,Rtnl1,0.23183468,0.21070157,0.02113311,,
PUPA-72h_cellbin,CNS primordium,CASK,0.2668294,0.24594711,0.020882294,,
PUPA-72h_cellbin,CNS primordium,ATPsynO,0.457919,0.43721494,0.02070406,,
PUPA-72h_cellbin,CNS primordium,Ggamma1,0.34920737,0.32899427,0.020213097,,
PUPA-72h_cellbin,CNS primordium,PMCA,0.22495015,0.20502374,0.019926414,,
PUPA-72h_cellbin,CNS primordium,VhaM9.7-a,0.29947197,0.28025502,0.019216955,,
PUPA-72h_cellbin,CNS primordium,RpL13,0.4326583,0.41408375,0.018574566,,
PUPA-72h_cellbin,CNS primordium,up,0.2773306,0.26020917,0.017121434,,
PUPA-72h_cellbin,CNS primordium,CG2852,0.52600527,0.5099302,0.016075075,,
PUPA-72h_cellbin,CNS primordium,ND-AGGG,0.3045227,0.28904092,0.01548177,,
PUPA-72h_cellbin,CNS primordium,Sap47,0.35712895,0.34208065,0.015048295,,
PUPA-72h_cellbin,CNS primordium,RpL7,0.61433756,0.599431,0.014906585,,
PUPA-72h_cellbin,CNS primordium,CG6770,0.39357418,0.37949538,0.014078796,,
PUPA-72h_cellbin,CNS primordium,Vha13,0.39386427,0.38013947,0.013724804,,
PUPA-72h_cellbin,CNS primordium,Msr-110,0.2530586,0.23944761,0.013611004,,
PUPA-72h_cellbin,CNS primordium,para,0.44757664,0.43400162,0.013575017,,
PUPA-72h_cellbin,CNS primordium,sesB,0.5861815,0.57263964,0.013541877,,
PUPA-72h_cellbin,CNS primordium,Mst84Db,0.21975602,0.20654689,0.013209134,,
PUPA-72h_cellbin,CNS primordium,Cpr97Eb,0.20010132,0.1869441,0.013157219,,
PUPA-72h_cellbin,CNS primordium,Mst87F,0.21783802,0.20515515,0.01268287,,
PUPA-72h_cellbin,CNS primordium,Cpr76Bd,0.23875248,0.22612318,0.0126293,,
PUPA-72h_cellbin,CNS primordium,ND-B22,0.28321156,0.27141085,0.011800706,,
PUPA-72h_cellbin,CNS primordium,IA-2,0.39482406,0.38341522,0.011408836,,
PUPA-72h_cellbin,CNS primordium,14-3-3epsilon,0.4209439,0.4099726,0.010971278,,
PUPA-72h_cellbin,CNS primordium,Gasp,0.21869534,0.20820637,0.010488972,,
PUPA-72h_cellbin,CNS primordium,RpL34b,0.38400418,0.37379622,0.010207951,,
PUPA-72h_cellbin,CNS primordium,Gs2,0.22889839,0.21973793,0.009160459,,
PUPA-72h_cellbin,CNS primordium,eEF2,0.28819925,0.27928442,0.008914828,,
PUPA-72h_cellbin,CNS primordium,Sdc,0.25044912,0.24170211,0.008747011,,
PUPA-72h_cellbin,CNS primordium,CG17376,0.21111415,0.20241892,0.00869523,,
PUPA-72h_cellbin,CNS primordium,ND-MLRQ,1.1814845,1.1743469,0.007137537,,
PUPA-72h_cellbin,CNS primordium,ND-B17.2,0.23605607,0.22942221,0.006633863,,
PUPA-72h_cellbin,CNS primordium,RpS11,0.93014264,0.9236114,0.0065312386,,
PUPA-72h_cellbin,CNS primordium,Cpr62Bc,0.5150166,0.5089318,0.0060847998,,
PUPA-72h_cellbin,CNS primordium,Tctp,0.41351664,0.40756196,0.005954683,,
PUPA-72h_cellbin,CNS primordium,RpS16,0.36384645,0.35813254,0.00571391,,
PUPA-72h_cellbin,CNS primordium,ND-15,0.2088838,0.20490405,0.0039797574,,
PUPA-72h_cellbin,CNS primordium,Vajk3,0.27770287,0.2753601,0.0023427606,,
PUPA-72h_cellbin,CNS primordium,ATPsynD,0.2824483,0.28031364,0.002134651,,
PUPA-72h_cellbin,CNS primordium,CG3662,0.25356132,0.251855,0.001706332,,
PUPA-72h_cellbin,CNS primordium,CG45089,0.27013934,0.2696827,0.00045663118,,
PUPA-72h_cellbin,CNS primordium,Tm1,0.29372865,0.29332292,0.00040572882,,
PUPA-72h_cellbin,CNS primordium,CG44242,0.2876942,0.28797424,-0.00028005242,,
PUPA-72h_cellbin,CNS primordium,ox,0.8042741,0.80457073,-0.00029665232,,
PUPA-72h_cellbin,CNS primordium,CG9034,0.26546392,0.26586148,-0.00039756298,,
PUPA-72h_cellbin,CNS primordium,CG41128,0.41211197,0.4135571,-0.0014451444,,
PUPA-72h_cellbin,CNS primordium,ATPsynB,0.4512681,0.4530275,-0.0017593801,,
PUPA-72h_cellbin,CNS primordium,COX5A,0.5778156,0.580474,-0.0026584268,,
PUPA-72h_cellbin,CNS primordium,CG7630,0.8122653,0.81520724,-0.002941966,,
PUPA-72h_cellbin,CNS primordium,CG34200,0.26222107,0.26551843,-0.0032973588,,
PUPA-72h_cellbin,CNS primordium,RpS2,0.7510155,0.7548132,-0.00379771,,
PUPA-72h_cellbin,CNS primordium,awd,0.22592886,0.23034485,-0.004415989,,
PUPA-72h_cellbin,CNS primordium,Tom7,0.249747,0.25421935,-0.00447236,,
PUPA-72h_cellbin,CNS primordium,Cpr47Ea,0.2656608,0.27019086,-0.004530072,,
PUPA-72h_cellbin,CNS primordium,blw,0.38033906,0.3852962,-0.0049571395,,
PUPA-72h_cellbin,CNS primordium,eEF1gamma,0.2193221,0.22431058,-0.0049884766,,
PUPA-72h_cellbin,CNS primordium,Gbeta13F,0.31172633,0.3179492,-0.006222874,,
PUPA-72h_cellbin,CNS primordium,nSyb,0.31631652,0.3225702,-0.0062536895,,
PUPA-72h_cellbin,CNS primordium,beta-Spec,0.21102579,0.21838462,-0.007358834,,
PUPA-72h_cellbin,CNS primordium,Mlc2,1.1612649,1.16924,-0.0079751015,,
PUPA-72h_cellbin,CNS primordium,Hsp23,0.29575986,0.30412328,-0.008363426,,
PUPA-72h_cellbin,CNS primordium,CG11267,0.21276888,0.22139043,-0.008621544,,
PUPA-72h_cellbin,CNS primordium,wupA,0.23463494,0.24435182,-0.009716883,,
PUPA-72h_cellbin,CNS primordium,fne,0.33080116,0.34061244,-0.009811282,,
PUPA-72h_cellbin,CNS primordium,COX6B,0.4204283,0.4304113,-0.009983003,,
PUPA-72h_cellbin,CNS primordium,Act57B,0.18658614,0.19658227,-0.009996131,,
PUPA-72h_cellbin,CNS primordium,RpL10Ab,0.7014375,0.7125104,-0.011072934,,
PUPA-72h_cellbin,CNS primordium,RpS13,0.6248697,0.63672274,-0.011853039,,
PUPA-72h_cellbin,CNS primordium,CG31808,0.22939885,0.24177073,-0.012371883,,
PUPA-72h_cellbin,CNS primordium,UQCR-C2,0.28772315,0.30066076,-0.012937605,,
PUPA-72h_cellbin,CNS primordium,Cam,1.0006129,1.0139822,-0.013369322,,
PUPA-72h_cellbin,CNS primordium,Hsp83,0.24764308,0.2611846,-0.01354152,,
PUPA-72h_cellbin,CNS primordium,pAbp,0.5067279,0.5206162,-0.013888299,,
PUPA-72h_cellbin,CNS primordium,mt:srRNA,0.20592037,0.21996625,-0.014045879,,
PUPA-72h_cellbin,CNS primordium,RpS21,0.81407785,0.8296049,-0.01552707,,
PUPA-72h_cellbin,CNS primordium,ATPsynE,0.44295436,0.4594054,-0.016451031,,
PUPA-72h_cellbin,CNS primordium,COX4,0.45019108,0.46696576,-0.016774684,,
PUPA-72h_cellbin,CNS primordium,ND-ACP,0.2277579,0.2469365,-0.0191786,,
PUPA-72h_cellbin,CNS primordium,SdhC,0.22941425,0.2486384,-0.019224152,,
PUPA-72h_cellbin,CNS primordium,RpL38,1.2612352,1.2805425,-0.019307256,,
PUPA-72h_cellbin,CNS primordium,UQCR-11,0.691428,0.7109874,-0.019559383,,
PUPA-72h_cellbin,CNS primordium,ND-B15,0.2599704,0.28107762,-0.021107227,,
PUPA-72h_cellbin,CNS primordium,Mlc1,0.49761716,0.5188109,-0.021193773,,
PUPA-72h_cellbin,CNS primordium,COX7A,0.45941597,0.4806478,-0.02123183,,
PUPA-72h_cellbin,CNS primordium,Act87E,0.20663369,0.22905505,-0.02242136,,
PUPA-72h_cellbin,CNS primordium,Sh,0.22184251,0.24453202,-0.022689506,,
PUPA-72h_cellbin,CNS primordium,Gapdh1,0.2507969,0.27416354,-0.02336663,,
PUPA-72h_cellbin,CNS primordium,RNASEK,0.7148636,0.7387791,-0.02391553,,
PUPA-72h_cellbin,CNS primordium,Tsp42Ej,0.29121026,0.31655404,-0.025343776,,
PUPA-72h_cellbin,CNS primordium,RFeSP,0.19638772,0.22187994,-0.025492221,,
PUPA-72h_cellbin,CNS primordium,Cyp1,0.76507276,0.7909673,-0.025894523,,
PUPA-72h_cellbin,CNS primordium,Mdh2,0.31411293,0.3405459,-0.026432961,,
PUPA-72h_cellbin,CNS primordium,CG13551,0.22959574,0.2569371,-0.02734135,,
PUPA-72h_cellbin,CNS primordium,RpL30,0.5263767,0.5540169,-0.027640164,,
PUPA-72h_cellbin,CNS primordium,ATPsyngamma,0.30560043,0.3333839,-0.027783453,,
PUPA-72h_cellbin,CNS primordium,Argk,0.44510445,0.47422495,-0.029120505,,
PUPA-72h_cellbin,CNS primordium,ND-B12,0.27719828,0.30666408,-0.029465795,,
PUPA-72h_cellbin,CNS primordium,ND-B14.5B,0.24234559,0.27299717,-0.030651584,,
PUPA-72h_cellbin,CNS primordium,CG31997,0.22041157,0.25218734,-0.031775773,,
PUPA-72h_cellbin,CNS primordium,UQCR-14,0.3020586,0.33440763,-0.03234902,,
PUPA-72h_cellbin,CNS primordium,ND-MWFE,0.52158207,0.55445534,-0.032873273,,
PUPA-72h_cellbin,CNS primordium,Cpr49Ae,0.4633063,0.49641702,-0.033110708,,
PUPA-72h_cellbin,CNS primordium,Rdl,0.35564217,0.38922095,-0.033578783,,
PUPA-72h_cellbin,CNS primordium,ATPsynC,1.0634642,1.0984704,-0.035006285,,
PUPA-72h_cellbin,CNS primordium,Eno,0.22230943,0.26073962,-0.0384302,,
PUPA-72h_cellbin,CNS primordium,porin,0.55562025,0.5942096,-0.03858936,,
PUPA-72h_cellbin,CNS primordium,ATPsynF,0.67482114,0.71379185,-0.03897071,,
PUPA-72h_cellbin,CNS primordium,lncRNA:Hsromega,0.20372672,0.24365267,-0.039925948,,
PUPA-72h_cellbin,CNS primordium,Act88F,0.48151973,0.5216656,-0.040145844,,
PUPA-72h_cellbin,CNS primordium,ctp,0.19332977,0.23370436,-0.040374592,,
PUPA-72h_cellbin,CNS primordium,Ald1,0.33388343,0.37718123,-0.043297797,,
PUPA-72h_cellbin,CNS primordium,CG8736,0.3339584,0.37738174,-0.043423355,,
PUPA-72h_cellbin,CNS primordium,Cyt-c-p,0.42568368,0.4691967,-0.04351303,,
PUPA-72h_cellbin,CNS primordium,Gat,0.36953866,0.41309595,-0.043557286,,
PUPA-72h_cellbin,CNS primordium,CG42613,0.22701553,0.27166018,-0.044644654,,
PUPA-72h_cellbin,CNS primordium,ATPsynG,0.88573205,0.9304031,-0.04467106,,
PUPA-72h_cellbin,CNS primordium,CG11159,0.40707132,0.4565023,-0.049430966,,
PUPA-72h_cellbin,CNS primordium,Mhc,0.37894002,0.4309801,-0.05204007,,
PUPA-72h_cellbin,CNS primordium,ATPsynCF6,0.3641513,0.41824383,-0.054092526,,
PUPA-72h_cellbin,CNS primordium,mt:ATPase8,0.6298886,0.6871816,-0.057292998,,
PUPA-72h_cellbin,CNS primordium,28SrRNA-Psi:CR40741,0.23036887,0.28891534,-0.05854647,,
PUPA-72h_cellbin,CNS primordium,Cpr64Aa,0.3911298,0.44972846,-0.058598667,,
PUPA-72h_cellbin,CNS primordium,UQCR-Q,0.7876324,0.84804887,-0.06041646,,
PUPA-72h_cellbin,CNS primordium,sun,0.5146238,0.5808638,-0.06623995,,
PUPA-72h_cellbin,CNS primordium,RpL39,2.2374015,2.3121073,-0.07470584,,
PUPA-72h_cellbin,CNS primordium,Neb-cGP,0.73089063,0.8073348,-0.07644415,,
PUPA-72h_cellbin,CNS primordium,mt:ND2,0.18242373,0.2599243,-0.07750057,,
PUPA-72h_cellbin,CNS primordium,CG34172,0.45365557,0.53200436,-0.078348786,,
PUPA-72h_cellbin,CNS primordium,mt:CoII,3.4068518,3.4898198,-0.082968,,
PUPA-72h_cellbin,CNS primordium,Gapdh2,0.377481,0.46268898,-0.08520797,,
PUPA-72h_cellbin,CNS primordium,levy,0.75919276,0.84451437,-0.085321605,,
PUPA-72h_cellbin,CNS primordium,RpL41,1.6460824,1.7317929,-0.085710526,,
