gene,mean_bulge,mean_dent,lfc
ZBTB1,0.09762014,0.08487292,0.012747221
SUN1,0.08473941,0.0720401,0.012699306
EIF4A2,0.17509773,0.16241206,0.012685671
PURB,0.08890964,0.076239906,0.012669735
H19,0.0813184,0.06866225,0.012656152
DYNLT3,0.07456732,0.061967473,0.0125998445
PRKY,0.06230152,0.049921848,0.012379672
S100A11,0.6943206,0.6820426,0.01227802
EIF4E,0.05262798,0.040373817,0.012254164
NET1,0.06214286,0.049956143,0.012186717
RHOC,0.08851698,0.07633116,0.012185819
P4HA1,0.041645423,0.029484568,0.012160854
LIMA1,0.097980045,0.08581985,0.012160197
OCIAD2,0.124045566,0.111967556,0.01207801
FGFR1OP2,0.1089672,0.09689036,0.01207684
RAB7A,0.123562776,0.111514226,0.01204855
CD59,0.1397063,0.12766054,0.012045756
CLIC1,0.12534343,0.113309525,0.012033902
KLF6,0.1165249,0.1044928,0.012032099
MALL,0.043527026,0.031528544,0.011998482
CALML5,0.066259585,0.05437871,0.011880875
MXD1,0.053927664,0.042066135,0.011861529
GRINA,0.11242832,0.10058382,0.011844501
PGAM1,0.1136505,0.10199102,0.011659481
WSB1,0.065732956,0.054166343,0.011566613
SLC6A8,0.03786597,0.026349602,0.011516368
LRRFIP1,0.08632021,0.07482196,0.01149825
SLC35E2B,0.67454016,0.66305596,0.011484206
GDI1,0.096801996,0.08532909,0.011472903
CTTN,0.16121735,0.14981042,0.011406928
HCFC1R1,0.069786936,0.058415838,0.011371098
FAM89B,0.0793114,0.06794319,0.011368208
ANKRD17,0.07151841,0.060233705,0.011284709
GOLGA8A,0.061507702,0.050232403,0.011275299
DSC3,0.29770872,0.28647336,0.011235356
TAX1BP3,0.10117841,0.08996794,0.011210471
LYPD3,0.1083694,0.09716068,0.0112087205
RPL12,0.30215588,0.29094872,0.011207163
TNFRSF12A,0.09458337,0.08351843,0.011064939
HYCC1,0.07635012,0.06535237,0.01099775
ACTN1,0.23057207,0.21965614,0.010915935
ISG15,0.123558685,0.11266212,0.0108965635
PPP2R2C,0.051338192,0.04048312,0.010855071
VEGFB,0.069582164,0.05888292,0.010699246
APP,0.3254832,0.3148048,0.0106784105
POSTN,0.09424688,0.08361915,0.010627732
GNB1,0.15592171,0.1453219,0.010599807
LAMA5,0.066593744,0.055996343,0.0105974
BZW1,0.111758925,0.10124815,0.0105107725
KRT6C,0.15908477,0.14860842,0.010476351
MAP4K4,0.09117976,0.08075769,0.010422066
ELL2,0.06829615,0.057891577,0.010404572
CALD1,0.09306243,0.08270001,0.010362424
KRAS,0.11459217,0.1042775,0.010314673
FBLIM1,0.057325326,0.04710882,0.010216504
APLP2,0.10897707,0.09876805,0.010209024
STOM,0.122213244,0.11201725,0.010195993
CCDC91,0.10413155,0.09401448,0.010117069
RAB31,0.05945518,0.049404662,0.010050517
MAP3K20,0.07945791,0.06942047,0.010037437
FAM83A,0.050551992,0.04052286,0.010029133
TPBG,0.04214249,0.032121904,0.010020588
KLHL42,0.1168697,0.10685006,0.010019645
ENO2,0.027253667,0.017292734,0.009960933
ITGB6,0.15687375,0.1469696,0.009904146
ZFP36L1,0.20046666,0.19064933,0.009817332
PPDPF,0.40270498,0.39289212,0.009812862
FLNA,0.2346774,0.22486904,0.0098083615
AKAP13,0.08438755,0.07459492,0.009792626
CALML3,0.10768953,0.09790868,0.009780847
ITPRID2,0.052904278,0.04314245,0.009761829
SLC2A4RG,0.109831475,0.10007069,0.009760782
FLNB,0.079649426,0.06993128,0.009718142
LY6E,0.16404878,0.15436848,0.009680301
JUP,0.24276443,0.23310508,0.00965935
RNF149,0.08547322,0.07586455,0.009608664
TMED4,0.07206452,0.062459376,0.009605143
AK4,0.056980275,0.047437027,0.0095432475
GSDME,0.069597185,0.060055427,0.009541757
RTN4,0.12725215,0.117723286,0.00952886
MSANTD3,0.041473746,0.031950675,0.009523071
ARF1,0.24867757,0.23917441,0.009503156
RHOB,0.082540125,0.07305133,0.009488791
MARCKSL1,0.10524115,0.095769204,0.009471945
LY6K,0.08462231,0.07515495,0.009467356
EIF1,0.39289013,0.38344443,0.009445697
MIR205HG,0.5089967,0.49958947,0.009407252
LAMC1,0.08191332,0.07257828,0.009335041
CD9,0.1022421,0.09295633,0.00928577
NBL1,0.08933684,0.08008241,0.009254433
C7orf50,0.095283814,0.08604596,0.009237856
EIF3B,0.115346655,0.10615679,0.0091898665
RAP1B,0.16060029,0.1514447,0.009155586
CIB1,0.08340082,0.07426458,0.009136245
CLCA2,0.26574817,0.25663027,0.009117901
CCM2,0.063126266,0.05401817,0.009108096
CSNK1E,0.09435744,0.08527175,0.009085685
YWHAQ,0.20539033,0.1963153,0.009075031
CRIP2,0.052329104,0.043279752,0.009049352
TNKS1BP1,0.06326886,0.05440226,0.008866604
SYT7,0.03164985,0.022790449,0.008859402
SUMO2,0.11987327,0.111058675,0.008814596
CAB39,0.054956853,0.046171237,0.008785617
MARCHF6,0.08983962,0.08106823,0.00877139
FAM83H,0.09950938,0.09074915,0.008760229
DIP2B,0.072861165,0.064164385,0.00869678
CDC42SE1,0.12265323,0.114013895,0.008639336
SHC1,0.10777365,0.09918606,0.008587584
ATL3,0.08464061,0.07606987,0.008570738
TMED10,0.1847214,0.17617871,0.008542687
BSG,0.10747202,0.09894762,0.0085243955
ACADVL,0.071865365,0.06334409,0.008521274
GOLGA7B,0.034880266,0.026367009,0.008513257
SOX4,0.07781287,0.069329105,0.0084837675
UBA6,0.049242444,0.040759627,0.008482818
TPM4,0.13102272,0.12255011,0.008472614
RAI14,0.0589847,0.050524063,0.008460637
B4GALT1,0.092300825,0.08387739,0.008423433
TNS4,0.046725024,0.038317017,0.008408006
LRAT,0.03134329,0.022975545,0.008367743
MT1E,0.13852043,0.130153,0.008367434
TUBA4A,0.07160067,0.06324449,0.008356176
RBMS1,0.06803745,0.059692603,0.008344848
TMBIM6,0.23017314,0.22183527,0.00833787
RAB22A,0.0633078,0.054974508,0.008333292
CDCP1,0.045207564,0.036905244,0.00830232
LGALS3,0.073435254,0.06513691,0.008298345
PRSS23,0.07107377,0.062780775,0.008292995
TRIO,0.058051616,0.049780495,0.0082711205
TES,0.056045245,0.04777546,0.008269787
SUGCT,0.04973483,0.041498866,0.008235965
SQSTM1,0.08450773,0.07627886,0.008228876
PLS3,0.13628419,0.12806965,0.008214533
GALNT2,0.09370628,0.085521765,0.008184515
CD151,0.055938218,0.047761817,0.008176401
BRI3,0.093720555,0.08556925,0.008151308
PPP1R13L,0.071326666,0.06320214,0.008124523
IRF6,0.1282348,0.12014191,0.008092895
ANGPTL4,0.029478353,0.021393646,0.008084707
RALA,0.11128953,0.10323565,0.008053884
NIBAN2,0.048623692,0.040577147,0.008046545
RNF11,0.04446458,0.036419608,0.008044973
SNAI2,0.04272676,0.03468182,0.0080449395
HELZ2,0.05406304,0.046030246,0.008032795
SPHK1,0.037455503,0.029438155,0.008017348
CLSTN1,0.10311403,0.095102124,0.008011907
FMNL2,0.05510641,0.047122866,0.007983543
TMBIM1,0.06728802,0.059324093,0.007963926
MFAP2,0.04851384,0.04055402,0.00795982
PTGFRN,0.08614665,0.07819647,0.007950179
PLP2,0.1602044,0.15225779,0.00794661
EXT1,0.05900222,0.051065937,0.007936284
ADH5,0.04788757,0.039984744,0.007902827
ZNF706,0.0815716,0.07366928,0.007902324
FKBP9,0.0916909,0.08379051,0.007900387
COX6B2,0.06468812,0.05684014,0.007847976
ULK1,0.05051935,0.042680163,0.007839188
CCDC92,0.059663735,0.05182629,0.007837445
F11R,0.07140123,0.063583314,0.007817917
KLF4,0.031226823,0.023409832,0.007816991
ANXA2,0.69476557,0.6870054,0.007760167
PLXNB2,0.06685499,0.059096318,0.0077586733
CSTB,0.21757631,0.2098297,0.007746607
COL27A1,0.16786811,0.16014594,0.007722169
GPBP1L1,0.06859874,0.060909215,0.0076895244
SDC2,0.09621623,0.08856941,0.0076468214
TENM2,0.0609828,0.053347148,0.007635653
PDGFC,0.031141017,0.023510953,0.007630063
TMEM134,0.061061278,0.053458124,0.0076031536
SKIL,0.10179013,0.094209015,0.007581115
P4HB,0.1002321,0.09265316,0.007578939
PPFIA1,0.12546824,0.11789703,0.0075712055
STARD10,0.05544917,0.04790572,0.0075434484
SPOCK1,0.02910587,0.021573218,0.0075326525
RHOD,0.04190227,0.034394477,0.0075077936
IL13RA1,0.043086782,0.03559627,0.007490512
PTPN12,0.04527568,0.037842356,0.007433325
IL1RN,0.029323654,0.02190316,0.007420495
ZYX,0.08255602,0.07514366,0.007412359
TAX1BP1,0.081003256,0.07361518,0.0073880777
CHSY1,0.04782461,0.04043831,0.0073863007
SIPA1L2,0.059193287,0.05182213,0.0073711574
PPP1R14C,0.05424128,0.046877515,0.0073637664
PTTG1IP,0.0504467,0.043086838,0.0073598623
BNC1,0.050394636,0.043036077,0.0073585585
PKP3,0.05363366,0.04630642,0.00732724
NECTIN1,0.056394696,0.04908568,0.007309016
RNASE1,0.048095103,0.040807713,0.0072873905
MGAT1,0.056073494,0.04878677,0.0072867237
COL1A2,0.26601735,0.2587369,0.007280439
TYMP,0.086933024,0.079656206,0.007276818
SEPTIN7,0.086941145,0.07966547,0.007275678
RTL8C,0.074267864,0.066999115,0.007268749
RIMS2,0.040898755,0.033637002,0.007261753
SERPINE2,0.060828462,0.053572085,0.0072563775
CHMP1B,0.046497364,0.039251436,0.007245928
DNAJB2,0.03174819,0.0245092,0.0072389897
COL6A2,0.048313197,0.04110902,0.007204175
ARL8A,0.043385584,0.036192205,0.007193379
SNHG16,0.077785194,0.07061296,0.0071722344
GRB10,0.03514233,0.027980596,0.0071617328
EFNA1,0.078088954,0.070932694,0.0071562603
CCDC85B,0.04671235,0.039566204,0.007146146
FNDC3B,0.07270659,0.065576635,0.0071299523
LEPROT,0.063527495,0.056402974,0.007124521
BHLHE40,0.06306106,0.055936806,0.0071242526
IL1RAP,0.042367507,0.03528602,0.0070814863
CALM1,0.1341899,0.12711169,0.0070782155
LGALS3BP,0.08173811,0.0746613,0.0070768073
ENAH,0.25767356,0.25061202,0.007061541
CALM2,0.16062999,0.15356974,0.0070602447
IRF2BP2,0.29919934,0.29214105,0.0070582926
TMEM54,0.055612594,0.048565574,0.00704702
EZR,0.08056773,0.073537886,0.0070298463
PSMG3,0.10276222,0.09577994,0.006982282
TRA2A,0.07281156,0.06585737,0.0069541857
PLIN3,0.056192964,0.049274977,0.006917987
DSTN,0.15115616,0.14424221,0.006913945
SDCBP,0.0778219,0.07091445,0.0069074556
ENSG00000257042,0.026602201,0.019715479,0.0068867225
MAN2A1,0.04852943,0.041645322,0.006884109
PAFAH1B1,0.067700714,0.060818955,0.0068817586
HBB,0.044647023,0.03777121,0.006875813
ARPC2,0.2491672,0.24230538,0.006861821
DUSP7,0.042025223,0.03516435,0.0068608746
SERPING1,0.0746894,0.067844525,0.006844878
FSTL3,0.03715578,0.03031436,0.006841421
RPL36AL,0.08637004,0.07958883,0.006781213
LTBP1,0.06363829,0.056862917,0.0067753755
TUFT1,0.04116548,0.03439118,0.006774299
LDLRAD4,0.049794648,0.043033592,0.0067610554
CREG2,0.027935296,0.02118546,0.0067498367
PXN,0.07217086,0.06543412,0.0067367405
ARF5,0.12842003,0.12169641,0.0067236125
KLHL24,0.03879358,0.032071516,0.006722063
KDM5B,0.044214047,0.0374984,0.006715648
LAMP2,0.1045069,0.09781121,0.006695695
UBE2Q2,0.05953531,0.05284215,0.0066931583
ARRDC3,0.0402005,0.03352692,0.006673582
IFNGR2,0.05266707,0.045994263,0.006672807
AHNAK2,0.02992832,0.023272019,0.0066563003
HP1BP3,0.082736,0.076079845,0.006656155
FHOD1,0.037696563,0.031042337,0.0066542253
CELSR1,0.043332517,0.036684558,0.0066479594
MAFK,0.03033382,0.023688989,0.006644832
TANC2,0.03924809,0.03260436,0.006643731
CD63,0.21256162,0.20592853,0.006633088
CARHSP1,0.046461277,0.03983047,0.006630808
GNG12,0.077356555,0.070743814,0.0066127405
TSC22D1,0.04735451,0.04074303,0.0066114776
RAP1GDS1,0.04382295,0.037222143,0.0066008084
NAV1,0.07239205,0.06579556,0.0065964833
SPATS2L,0.11162967,0.105049945,0.006579727
SOX15,0.033748526,0.027171396,0.0065771304
ZDHHC4,0.047038775,0.040493403,0.0065453723
FOSL1,0.027178071,0.020652287,0.0065257847
PAM,0.054154918,0.047629617,0.0065253004
MAFB,0.053678274,0.047156267,0.0065220073
STX16,0.050881837,0.044391416,0.0064904206
TRAF4,0.054490782,0.048009653,0.0064811297
SMYD3,0.045346063,0.038869593,0.0064764693
KDM7A,0.025962157,0.019494336,0.006467821
PNP,0.059046295,0.05260841,0.006437883
TMEM79,0.03089204,0.024458593,0.006433448
ITGB5,0.05402507,0.047600407,0.0064246617
PJA2,0.037247747,0.030827908,0.0064198393
SERINC3,0.066014886,0.059611898,0.006402988
WAC,0.06629584,0.059906915,0.006388925
ANO6,0.034191623,0.027834285,0.0063573383
TNFAIP1,0.05336184,0.047007766,0.006354075
LDAF1,0.033741284,0.02739738,0.006343905
NEK7,0.03919736,0.032857176,0.0063401833
CLDND1,0.05828337,0.051945444,0.006337926
MAP7D1,0.089244224,0.082925856,0.006318368
GNA12,0.05801721,0.051701687,0.006315522
RNF145,0.069128044,0.06282829,0.0062997565
DVL1,0.032701556,0.026409103,0.006292453
RXRA,0.03990868,0.03361697,0.00629171
GJB5,0.034910604,0.028633673,0.0062769316
ITGA2,0.048036624,0.04176658,0.0062700436
PSMC6,0.044699352,0.038460255,0.0062390976
MEX3D,0.041698806,0.035473842,0.006224964
ARHGAP5,0.032318827,0.026095593,0.0062232334
ITM2B,0.2467065,0.2404914,0.0062150955
L1CAM,0.036004595,0.029803159,0.0062014367
TMX1,0.057787552,0.05159314,0.0061944127
VDAC1,0.08498055,0.07878993,0.0061906204
BEST1,0.028737528,0.022549916,0.006187612
LAMA3,0.05991086,0.05373286,0.006177999
LTB4R,0.026695669,0.020520298,0.006175371
HPS4,0.030532992,0.024397923,0.006135069
EHBP1L1,0.0374451,0.031310495,0.006134603
BPGM,0.03051245,0.024417192,0.0060952585
IL4R,0.06327164,0.05717786,0.0060937814
CTSL,0.04192349,0.035839826,0.0060836636
KIF5B,0.07760409,0.07153214,0.006071955
BTG1,0.055834603,0.049796574,0.0060380287
DYNC1I2,0.076805346,0.07078213,0.0060232133
TPST2,0.0443015,0.038287275,0.006014224
STK17A,0.049870584,0.04386758,0.0060030036
TUG1,0.063261256,0.057260435,0.0060008205
CD55,0.036287643,0.03028903,0.0059986133
KIAA1191,0.055658516,0.049679317,0.005979199
LINC02574,0.043863874,0.037885457,0.0059784167
SDR16C5,0.042923268,0.036963854,0.005959414
TGFB1,0.03203955,0.026082667,0.0059568826
COL4A1,0.053693473,0.047753267,0.0059402063
MXI1,0.026759794,0.020832406,0.0059273876
IFITM2,0.11817888,0.11225678,0.0059221014
PCBP1,0.112867385,0.10695032,0.005917065
AP3S1,0.077685855,0.07177181,0.0059140474
CCN2,0.03594638,0.030034719,0.0059116613
PGBD5,0.063674554,0.057783008,0.0058915466
DYNLL1,0.19341592,0.18752544,0.0058904886
COX20,0.06392426,0.05804595,0.0058783107
FTL,0.6820413,0.67618656,0.005854726
KDELR2,0.13211793,0.12627055,0.0058473796
SNHG29,0.15050265,0.1446781,0.005824551
VOPP1,0.059307694,0.053483948,0.0058237463
SMTN,0.028889878,0.023066487,0.0058233906
SEC23A,0.05660693,0.050785296,0.005821634
CKAP4,0.11497723,0.10918066,0.005796574
METRNL,0.03109303,0.02531142,0.0057816096
SELENOW,0.1555603,0.14978202,0.005778283
CHMP4B,0.0657645,0.060011104,0.005753398
RAB1A,0.07868413,0.072932355,0.0057517737
SLC44A1,0.05628265,0.050544176,0.0057384744
CBX3,0.11819647,0.1124916,0.0057048723
DRAP1,0.091337934,0.085640214,0.0056977198
JOSD1,0.04981972,0.044129208,0.0056905113
BMPR2,0.061268087,0.055584908,0.00568318
JUND,0.16644508,0.16076198,0.0056830943
TBC1D9B,0.05196541,0.04628903,0.0056763813
KMT2E,0.04982499,0.044154227,0.0056707636
LPP,0.04755592,0.04189268,0.0056632385
YWHAG,0.10675351,0.1010942,0.005659312
MET,0.027652703,0.021994822,0.0056578815
GRSF1,0.049264252,0.043610185,0.005654067
ERGIC3,0.07508969,0.06944159,0.0056481063
NINJ1,0.025169685,0.019531867,0.005637819
RBM39,0.097951636,0.09233626,0.005615376
CMPK1,0.07640946,0.070827454,0.005582005
EPN1,0.062831104,0.057263214,0.0055678897
TMEM184B,0.051201753,0.04564107,0.005560685
DHRS7,0.049883004,0.044326536,0.005556468
SMS,0.03408571,0.028529618,0.0055560917
DGKA,0.053113025,0.04756017,0.0055528544
CAPZA2,0.043080095,0.037590556,0.0054895394
EXOC6B,0.032570913,0.027090454,0.005480459
SNX6,0.09156467,0.08608865,0.0054760203
ARHGAP21,0.061493807,0.056021366,0.0054724403
PROM2,0.05266563,0.047211017,0.005454611
PATJ,0.043078452,0.037625182,0.00545327
FADD,0.09129913,0.08586108,0.005438052
NFIL3,0.029490422,0.024062421,0.0054280013
TGFA,0.025488773,0.020090679,0.0053980947
IQANK1,0.03878926,0.033395134,0.005394127
TLE5,0.11741657,0.11202588,0.005390689
TUBA1A,0.11332032,0.107941315,0.0053790063
SLC25A37,0.05179864,0.046421,0.005377643
BAIAP2L1,0.029419012,0.024064755,0.0053542573
OSBPL3,0.061623923,0.05627539,0.0053485334
SLC16A3,0.04240181,0.037065957,0.0053358525
PRRX2,0.034878112,0.029544387,0.0053337254
ZNF185,0.027561683,0.022241756,0.005319927
MAP1LC3B,0.04127617,0.035967145,0.0053090267
PFKP,0.030800367,0.025495242,0.0053051244
ADAM9,0.026395576,0.021090519,0.0053050574
TMEM65,0.03935018,0.034050297,0.005299885
SPPL3,0.05037649,0.04507666,0.005299829
WIPI2,0.06128596,0.05599353,0.0052924305
RAB10,0.09150717,0.08621939,0.005287774
NMB,0.032152746,0.026866227,0.0052865185
ARL4C,0.038990665,0.033730373,0.0052602924
HOOK3,0.036920942,0.031668693,0.0052522495
BACE2,0.044859886,0.039609715,0.005250171
PSMA3-AS1,0.04205238,0.036814675,0.005237706
XAF1,0.04959539,0.04436035,0.0052350387
TXN,0.22466154,0.2194442,0.0052173436
YKT6,0.11387802,0.10866889,0.0052091256
RAB12,0.07196884,0.06677537,0.005193472
AP2M1,0.13682678,0.13165098,0.005175799
NPEPPS,0.056504246,0.051331084,0.0051731616
CREB5,0.027261196,0.022089904,0.0051712915
STK24,0.06402202,0.058857847,0.0051641725
CLK1,0.03098735,0.025832841,0.005154509
PPP1R14B-AS1,0.03502386,0.029875932,0.0051479284
DDX3X,0.08430325,0.07916704,0.005136214
KLF5,0.060503405,0.05537234,0.005131066
THBS1,0.053772334,0.048648678,0.0051236562
TRAPPC1,0.064562276,0.059446603,0.005115673
PAK2,0.08628673,0.08118472,0.0051020086
OSMR,0.06300836,0.05791247,0.0050958917
PDLIM4,0.030240014,0.02514737,0.005092645
CDK2AP2,0.15096086,0.14588024,0.0050806254
OPN3,0.057001986,0.05192753,0.0050744563
SLC3A2,0.05260977,0.047538195,0.0050715767
TMEM50A,0.06200319,0.05693621,0.0050669834
PUM2,0.043316647,0.03825168,0.005064968
PPP2R5E,0.048379183,0.04331858,0.005060602
GLI3,0.05287767,0.047823347,0.005054321
PPM1A,0.041765165,0.036717933,0.005047232
LRRC8C,0.023857493,0.018815296,0.005042197
KBTBD2,0.036173258,0.03113631,0.0050369482
ARL8B,0.046550173,0.04152032,0.0050298534
NAMPT,0.053518247,0.048490703,0.0050275438
YPEL5,0.034689207,0.029668843,0.0050203633
LNPK,0.024355168,0.019339792,0.005015375
RAB4A,0.058865972,0.053853545,0.0050124265
SRPK2,0.042297665,0.03728585,0.0050118156
ARGLU1,0.048276287,0.04326715,0.005009137
COL4A5,0.026025502,0.021021156,0.0050043464
GPR153,0.028209385,0.023217283,0.0049921013
LYST,0.02577786,0.020791804,0.004986055
DLG1,0.038039017,0.033053756,0.0049852617
GMFB,0.030902207,0.02592449,0.004977716
UBE2D3,0.083470315,0.07850019,0.004970126
TAGLN,0.08952017,0.08457358,0.0049465895
STK38L,0.07251126,0.06756592,0.004945345
TAF7,0.03585091,0.030911015,0.0049398933
EIF4EBP1,0.029117117,0.024178363,0.0049387533
VIM,0.18353526,0.17859827,0.004936993
CXADR,0.07977022,0.074843645,0.004926577
STUB1,0.056080025,0.051164474,0.0049155504
TMEM30B,0.050992336,0.046080425,0.0049119107
CAPRIN2,0.033201545,0.028293274,0.004908271
RAP2B,0.04257984,0.037678607,0.004901234
IGFBP5,0.032449055,0.027564758,0.004884297
COMT,0.073272206,0.068394415,0.004877791
NIPSNAP2,0.04352919,0.038657483,0.0048717074
GOLGA7,0.04595466,0.041098036,0.0048566237
POLR1D,0.04996706,0.045111172,0.00485589
TRIOBP,0.045666594,0.040813196,0.0048533976
RAPGEF5,0.029463353,0.024612507,0.004850846
FOSL2,0.10146987,0.09662162,0.0048482493
SOCS3,0.042900413,0.038052525,0.004847888
RAD23B,0.059984747,0.055154566,0.0048301816
TLCD3A,0.033517096,0.028691007,0.0048260894
GIPC1,0.0473795,0.04256647,0.0048130304
PPP2R5B,0.027429363,0.022624789,0.004804574
LINC02315,0.025957482,0.021162905,0.004794577
RALB,0.023923228,0.019129999,0.0047932286
CTNNBIP1,0.028419167,0.02363033,0.0047888365
SMIM3,0.058031525,0.0532434,0.004788127
DNAJB6,0.059576746,0.054791626,0.0047851205
CAST,0.062983386,0.05820376,0.0047796257
DVL3,0.06066483,0.055888284,0.004776545
XIAP,0.0308513,0.026081482,0.004769819
SEPTIN10,0.03484793,0.030081619,0.0047663115
SUMO1,0.078461125,0.07369631,0.0047648177
C5orf24,0.04748726,0.04272599,0.0047612675
NR3C1,0.029632928,0.024872253,0.004760675
VDAC2,0.058528505,0.05377165,0.0047568567
MINK1,0.056677908,0.05193987,0.0047380365
IGF1R,0.04629391,0.04156139,0.0047325194
BCAR1,0.024780536,0.020056281,0.004724255
METAP1,0.031037584,0.02632035,0.0047172345
KLF10,0.03515319,0.03043612,0.0047170706
MAPK1,0.049979486,0.045263544,0.004715942
GLG1,0.06280279,0.058087897,0.004714895
WASF2,0.052707013,0.047996975,0.0047100373
SNHG15,0.049819056,0.045131918,0.004687138
MIDEAS,0.028746812,0.024061445,0.0046853665
MTMR3,0.034563478,0.029879488,0.00468399
C1GALT1,0.024869382,0.020187575,0.004681807
KANK1,0.030335672,0.025659662,0.0046760105
ARL4D,0.042604383,0.037936416,0.0046679676
KIAA0930,0.06434956,0.059688542,0.00466102
INHBA,0.11822255,0.11356273,0.0046598166
BCL3,0.03773556,0.033078354,0.004657205
PDE7A,0.047169153,0.042520996,0.0046481565
CRK,0.03287514,0.028233547,0.0046415925
OS9,0.07247703,0.06784194,0.004635088
PITPNM1,0.037472278,0.032841165,0.0046311133
GRK2,0.06678679,0.06215992,0.00462687
TM2D1,0.045755416,0.041134767,0.004620649
CCNL1,0.03918386,0.03456541,0.0046184473
PDLIM1,0.07125536,0.066640146,0.0046152174
KIAA0319L,0.0384534,0.033845346,0.0046080537
DLGAP4,0.044934556,0.04032678,0.0046077743
ZNRF2,0.03532539,0.03071888,0.0046065096
PLEKHA1,0.031681452,0.027080525,0.0046009272
MTPN,0.10107166,0.09647074,0.00460092
NPTN,0.09201816,0.08741996,0.0045982003
RRAS,0.04738241,0.042788632,0.0045937784
SELENOF,0.066894256,0.06230575,0.004588507
MMP14,0.037637014,0.033053916,0.004583098
BLOC1S2,0.03936985,0.034791816,0.0045780353
EXOC5,0.029749803,0.02517337,0.0045764334
RAB18,0.053644124,0.049078688,0.0045654364
LRRC8A,0.04433698,0.03977763,0.0045593493
NCOA3,0.04129828,0.036753733,0.0045445487
FLOT1,0.043562848,0.039019015,0.0045438334
ZC3H12A,0.04837779,0.043835014,0.0045427755
KCMF1,0.06894121,0.06439897,0.0045422465
TSC22D2,0.031474676,0.026943173,0.0045315027
CYB5R3,0.12158265,0.11706794,0.004514709
JUNB,0.23100877,0.22649486,0.0045139045
OST4,0.20268683,0.19817525,0.00451158
R3HDM4,0.067462355,0.062957086,0.004505269
GNGT1,0.035605084,0.031100405,0.004504679
ATP13A3,0.031569906,0.027070062,0.0044998433
BCL10,0.028907603,0.024420913,0.0044866893
KRT10,0.075368635,0.0708843,0.004484333
METTL26,0.040089786,0.03560563,0.0044841543
ZFP36L2,0.09390883,0.089430936,0.004477896
PGM1,0.047905676,0.043430272,0.0044754036
JKAMP,0.031131627,0.026657607,0.0044740196
TGIF1,0.046866078,0.04239333,0.0044727474
CAPNS1,0.09587969,0.09140764,0.004472047
SMAD3,0.032019146,0.027550956,0.0044681896
ENSG00000280011,0.20958544,0.20512035,0.0044650882
ZFAND5,0.036383126,0.031925112,0.004458014
ENSG00000283213,0.18356583,0.17911786,0.004447967
SPTSSA,0.095973276,0.09153835,0.0044349283
PDCD10,0.038656786,0.034226574,0.004430212
TGFBR1,0.046745975,0.042319555,0.0044264197
TPM1,0.09720512,0.09278355,0.0044215694
SULF1,0.038966805,0.03455757,0.004409235
RPL28,0.23950826,0.23511596,0.004392296
SRP9,0.08147783,0.07708761,0.0043902174
RETREG2,0.04745624,0.043067247,0.0043889917
NOTCH3,0.082824074,0.078455985,0.004368089
PAIP1,0.038269565,0.033906523,0.0043630414
H1-0,0.117281444,0.11291911,0.0043623373
TMEM230,0.05950904,0.05515857,0.0043504685
COL4A2,0.094493926,0.090152,0.0043419227
RBFOX2,0.036418807,0.032078713,0.0043400936
CTNNA1,0.05060423,0.046264797,0.004339434
S100A3,0.0321458,0.027823793,0.0043220054
YBX3,0.06790471,0.06358983,0.004314877
KCNJ15,0.026205365,0.021897184,0.004308181
NME4,0.043747123,0.039443716,0.004303407
ITGAV,0.07887354,0.07457205,0.0043014884
NEURL1B,0.034583885,0.030284258,0.0042996276
PTMS,0.10901369,0.10473742,0.004276268
PHLDB2,0.029279608,0.025006311,0.0042732973
MAST4,0.047847934,0.043578815,0.0042691194
RUNX1,0.09778339,0.09351507,0.0042683184
DARS1,0.029001828,0.024746107,0.0042557213
SDK2,0.03039102,0.026138263,0.004252758
MPRIP,0.032734226,0.028484011,0.0042502154
GNA15,0.04490392,0.040659886,0.0042440332
CHRAC1,0.05121277,0.04696911,0.0042436607
TMEM259,0.050141085,0.045899525,0.0042415597
PPP2CB,0.05481465,0.050574422,0.0042402297
RHEB,0.053389028,0.04915092,0.0042381063
EMP1,0.031754144,0.02751633,0.004237814
CCNY,0.04221458,0.0379791,0.00423548
SH3GLB1,0.05558356,0.051348694,0.0042348653
SH3PXD2A,0.030645592,0.026418297,0.0042272955
RND3,0.03918446,0.03496112,0.0042233393
RABGAP1,0.032215897,0.027994031,0.004221866
ZDHHC8,0.029610086,0.025393581,0.004216505
ZBTB25,0.0516417,0.047428466,0.0042132325
TIA1,0.038850088,0.03464343,0.0042066574
ENSG00000291105,0.029052686,0.024846183,0.004206503
ALKBH5,0.04846166,0.044260703,0.0042009577
JAK1,0.06809692,0.063898675,0.0041982457
CD276,0.05717114,0.05297514,0.0041959994
BLCAP,0.041601162,0.037422687,0.0041784756
CTNND1,0.09169588,0.08751766,0.004178226
DUSP14,0.032278,0.028100487,0.0041775145
RUFY3,0.029259903,0.025087792,0.004172111
GNG4,0.03083492,0.026669493,0.0041654278
ADAM17,0.04878869,0.04463158,0.0041571073
VPS13B,0.035082225,0.030926436,0.0041557886
QKI,0.041519355,0.03736375,0.004155606
LAD1,0.092097186,0.087947436,0.00414975
PFKL,0.029766623,0.02561823,0.004148392
ACTR10,0.061263725,0.057121385,0.0041423403
ECM1,0.048294224,0.044162467,0.0041317567
STAU1,0.08418753,0.08006381,0.0041237175
